UrlFBref,Pos,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,npG-npxG,Touches,Att_3rd_Touches,Att_Pen_Touches,Live_Touches,Att_Take_Ons,Succ_Take_Ons,Succ%_Take_Ons,Tkld_Take_Ons,Tkld%_Take_Ons,Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_3rd_Carries,CPA_Carries,Miscontrols,Dispossessed,Pass_Received,Pass_PrgR,Cmp_Pass,Att_Pass,Cmp%_Pass,TotDist_Pass,PrgDist_Pass,Cmp_Short_Pass,Att_Short_Pass,Cmp%_Short_Pass,Cmp_Medium_Pass,Att_Medium_Pass,Cmp%_Medium_Pass,Cmp_Long_Pass,Att_Long_Pass,Cmp%_Long_Pass,xA,A-xAG,Key_Pass,Final_Third_Pass,PPA,CrsPA,Live_Pass,Dead_Pass,FK_Pass,Through_Balls,Switches,Crosses,Throw_Ins,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Offside_Pass,Blocked_Pass,Mid_3rd_Tackles,Att_3rd_Tackles,Interceptions,SCA,SCA/90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA/90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Fls,Fld,PKwon,Own_Goals,Won_Aerial_Duels,Lost_Aerial_Duels,Won%_Aerial_Duels
https://fbref.com/en/players/a2b1ed42/Ricardo-Pepi,FW,12.0,3.0,15.0,11.0,1.0,1.0,7.3,6.5,2.9,9.5,28.0,31.0,132.0,0.42,0.11,0.53,0.39,0.49,0.26,0.1,0.36,0.23,0.34,58.0,18.0,31.03,2.05,0.64,0.21,0.67,28.4,0.0,0.11,4.7,4.5,903.0,429.0,130.0,902.0,56.0,28.0,50.0,27.0,48.21,416.0,2099.0,621.0,28.0,11.0,17.0,85.0,23.0,551.0,132.0,429.0,567.0,75.66,6104.0,585.0,216.0,282.0,76.6,156.0,181.0,86.19,18.0,24.0,75.0,2.2,0.1,32.0,14.0,12.0,2.0,494.0,73.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,7.0,16.0,57.0,2.01,49.0,1.0,4.0,2.0,0.0,1.0,6.0,0.21,4.0,0.0,1.0,1.0,0.0,0.0,19.0,7.0,0.0,0.0,64.0,108.0,37.21
https://fbref.com/en/players/3eeb80e0/Fredrik-Jensen,"FW,MF",2.0,1.0,3.0,2.0,0.0,0.0,1.8,1.8,1.4,3.2,3.0,24.0,62.0,0.19,0.1,0.29,0.19,0.29,0.18,0.14,0.31,0.18,0.31,11.0,3.0,27.27,1.07,0.29,0.18,0.67,16.6,0.0,0.16,0.2,0.2,410.0,178.0,35.0,410.0,12.0,4.0,33.33,8.0,66.67,206.0,853.0,306.0,3.0,9.0,2.0,23.0,19.0,243.0,62.0,160.0,297.0,53.87,2978.0,1073.0,75.0,104.0,72.12,56.0,103.0,54.37,24.0,57.0,42.11,1.6,-0.4,13.0,22.0,11.0,2.0,259.0,35.0,3.0,0.0,1.0,31.0,18.0,13.0,4.0,9.0,0.0,3.0,17.0,3.0,4.0,4.0,20.0,1.95,17.0,3.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,19.0,33.0,36.54
https://fbref.com/en/players/9a2e3a23/Dion-Drena-Beljo,FW,3.0,2.0,5.0,3.0,0.0,0.0,1.6,1.6,1.7,3.2,14.0,15.0,42.0,0.24,0.16,0.4,0.24,0.4,0.13,0.14,0.26,0.13,0.26,13.0,5.0,38.46,1.04,0.4,0.23,0.6,15.2,0.0,0.12,1.4,1.4,371.0,140.0,29.0,371.0,15.0,7.0,46.67,6.0,40.0,184.0,951.0,291.0,14.0,7.0,4.0,33.0,23.0,275.0,42.0,159.0,250.0,63.6,2058.0,467.0,94.0,141.0,66.67,46.0,73.0,63.01,5.0,8.0,62.5,0.9,0.3,15.0,11.0,4.0,1.0,242.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,1.0,25.0,2.0,20.0,0.0,0.0,3.0,1.0,1.0,5.0,0.4,3.0,0.0,0.0,2.0,0.0,0.0,26.0,10.0,0.0,0.0,47.0,56.0,45.63
https://fbref.com/en/players/6ecbddf6/Ruben-Vargas,"MF,FW",3.0,4.0,7.0,3.0,0.0,0.0,1.2,1.2,2.2,3.4,32.0,42.0,68.0,0.24,0.32,0.56,0.24,0.56,0.1,0.18,0.27,0.1,0.27,21.0,6.0,28.57,1.67,0.48,0.14,0.5,20.4,1.0,0.06,1.8,1.8,518.0,241.0,33.0,518.0,47.0,21.0,44.68,22.0,46.81,277.0,2138.0,914.0,32.0,23.0,3.0,29.0,10.0,305.0,68.0,215.0,372.0,57.8,3588.0,1087.0,99.0,131.0,75.57,92.0,157.0,58.6,15.0,44.0,34.09,1.9,1.8,16.0,26.0,16.0,6.0,346.0,25.0,2.0,2.0,3.0,48.0,19.0,3.0,3.0,0.0,0.0,1.0,21.0,7.0,2.0,6.0,31.0,2.47,22.0,1.0,5.0,1.0,2.0,0.0,4.0,0.32,3.0,0.0,0.0,0.0,1.0,0.0,16.0,16.0,1.0,0.0,14.0,23.0,37.84
https://fbref.com/en/players/eb6e14be/Mergim-Berisha,FW,9.0,4.0,13.0,6.0,3.0,4.0,8.1,5.0,2.7,7.6,20.0,28.0,99.0,0.48,0.21,0.7,0.32,0.54,0.43,0.14,0.58,0.27,0.41,51.0,13.0,25.49,2.73,0.7,0.18,0.69,18.7,6.0,0.1,0.9,1.0,551.0,322.0,81.0,547.0,31.0,5.0,16.13,20.0,64.52,263.0,1276.0,480.0,20.0,15.0,11.0,42.0,27.0,324.0,99.0,161.0,342.0,47.08,2735.0,1043.0,72.0,120.0,60.0,66.0,125.0,52.8,17.0,55.0,30.91,2.8,1.3,20.0,20.0,10.0,3.0,267.0,73.0,18.0,1.0,1.0,77.0,0.0,34.0,18.0,16.0,0.0,2.0,18.0,3.0,4.0,0.0,34.0,1.82,13.0,13.0,3.0,3.0,1.0,1.0,7.0,0.38,2.0,3.0,2.0,0.0,0.0,0.0,28.0,31.0,0.0,0.0,39.0,64.0,37.86
https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic,"FW,MF",8.0,4.0,12.0,7.0,1.0,1.0,7.5,6.8,3.5,10.3,26.0,48.0,120.0,0.3,0.15,0.46,0.27,0.42,0.29,0.13,0.42,0.26,0.39,63.0,23.0,36.51,2.4,0.87,0.13,0.35,15.2,0.0,0.11,0.5,0.2,867.0,430.0,122.0,866.0,53.0,19.0,35.85,28.0,52.83,391.0,1933.0,797.0,26.0,22.0,11.0,53.0,32.0,516.0,120.0,268.0,533.0,50.28,3692.0,1264.0,150.0,255.0,58.82,83.0,154.0,53.9,10.0,35.0,28.57,3.1,0.5,29.0,29.0,17.0,5.0,501.0,27.0,0.0,2.0,2.0,19.0,5.0,0.0,0.0,0.0,0.0,5.0,32.0,12.0,10.0,14.0,57.0,2.17,43.0,0.0,4.0,5.0,3.0,2.0,8.0,0.3,4.0,0.0,0.0,2.0,1.0,1.0,49.0,31.0,1.0,0.0,66.0,106.0,38.37
https://fbref.com/en/players/10549b49/Sardar-Azmoun,"FW,MF",4.0,1.0,5.0,4.0,0.0,0.0,3.5,3.5,2.5,6.0,11.0,32.0,45.0,0.39,0.1,0.49,0.39,0.49,0.34,0.24,0.58,0.34,0.58,28.0,10.0,35.71,2.72,0.97,0.14,0.4,12.1,0.0,0.12,0.5,0.5,344.0,135.0,48.0,344.0,11.0,6.0,54.55,5.0,45.45,167.0,769.0,343.0,11.0,8.0,8.0,23.0,10.0,256.0,45.0,162.0,247.0,65.59,2373.0,844.0,89.0,130.0,68.46,41.0,56.0,73.21,15.0,20.0,75.0,1.4,-1.5,14.0,23.0,9.0,0.0,232.0,13.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,1.0,2.0,33.0,3.2,27.0,0.0,1.0,2.0,1.0,2.0,4.0,0.39,1.0,0.0,1.0,1.0,0.0,1.0,17.0,1.0,1.0,0.0,22.0,46.0,32.35
https://fbref.com/en/players/5d4f7d61/Patrik-Schick,FW,3.0,1.0,4.0,3.0,0.0,0.0,4.6,4.6,0.6,5.1,8.0,11.0,68.0,0.29,0.1,0.38,0.29,0.38,0.44,0.06,0.5,0.44,0.49,34.0,14.0,41.18,3.25,1.34,0.09,0.21,12.8,1.0,0.14,-1.6,-1.6,358.0,172.0,48.0,358.0,16.0,7.0,43.75,8.0,50.0,195.0,697.0,234.0,8.0,9.0,3.0,28.0,13.0,298.0,68.0,176.0,253.0,69.57,2172.0,435.0,110.0,153.0,71.9,48.0,70.0,68.57,3.0,5.0,60.0,0.4,0.4,10.0,3.0,7.0,1.0,233.0,19.0,2.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,28.0,2.68,21.0,0.0,1.0,3.0,3.0,0.0,2.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,0.0,30.0,38.0,44.12
https://fbref.com/en/players/555d5edd/Nadiem-Amiri,"MF,FW",4.0,1.0,5.0,3.0,1.0,1.0,1.9,1.1,1.1,2.2,30.0,55.0,30.0,0.37,0.09,0.46,0.28,0.37,0.17,0.1,0.28,0.1,0.2,23.0,8.0,34.78,2.12,0.74,0.17,0.5,24.3,3.0,0.05,2.1,1.9,624.0,174.0,15.0,623.0,38.0,18.0,47.37,14.0,36.84,352.0,2134.0,1069.0,30.0,26.0,7.0,14.0,10.0,430.0,30.0,423.0,507.0,83.43,6968.0,1759.0,212.0,233.0,90.99,149.0,168.0,88.69,45.0,68.0,66.18,1.8,-0.1,15.0,38.0,9.0,1.0,472.0,32.0,14.0,4.0,4.0,16.0,4.0,9.0,2.0,7.0,0.0,3.0,15.0,8.0,2.0,6.0,36.0,3.31,23.0,4.0,4.0,1.0,4.0,0.0,5.0,0.46,3.0,0.0,1.0,0.0,1.0,0.0,14.0,25.0,0.0,0.0,1.0,10.0,9.09
https://fbref.com/en/players/e7fcf289/Florian-Wirtz,"FW,MF",1.0,6.0,7.0,1.0,0.0,0.0,0.8,0.8,3.9,4.7,36.0,80.0,86.0,0.08,0.5,0.58,0.08,0.58,0.07,0.32,0.39,0.07,0.39,7.0,4.0,57.14,0.58,0.33,0.14,0.25,18.6,0.0,0.11,0.2,0.2,787.0,315.0,35.0,787.0,85.0,48.0,56.47,34.0,40.0,487.0,2638.0,1331.0,36.0,26.0,9.0,40.0,28.0,580.0,86.0,473.0,634.0,74.61,7333.0,2166.0,262.0,307.0,85.34,141.0,186.0,75.81,44.0,91.0,48.35,3.1,2.1,39.0,43.0,26.0,3.0,558.0,74.0,21.0,15.0,9.0,43.0,11.0,30.0,17.0,8.0,0.0,2.0,11.0,7.0,2.0,1.0,64.0,5.28,47.0,8.0,5.0,1.0,3.0,0.0,8.0,0.66,7.0,0.0,1.0,0.0,0.0,0.0,13.0,27.0,0.0,0.0,2.0,12.0,14.29
