"Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal_Kicks","Launch_percent_Goal_Kicks","AvgLen_Goal_Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","Player_NumOPA_Sweeper","Player_NumOPA_per_90_Sweeper","AvgDist_Sweeper","PlayerURL"
"2022-2023","Napoli","Serie A","Alex Meret","ITA","GK","26-074",33,24,1,0,1,0,24.6,0.26,0.6,0.02,56,145,38.6,718,118,14.6,26.2,195,20.5,27,329,11,3.3,38,1.15,16.9,"https://fbref.com/en/players/9413b19f/Alex-Meret"
"2022-2023","Napoli","Serie A","Pierluigi Gollini","ITA","GK","28-078",4,4,0,0,1,0,3.1,0.19,-0.9,-0.23,15,36,41.7,128,24,20.3,29.6,31,32.3,32.2,56,2,3.6,4,1,18.8,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
"2022-2023","Lazio","Serie A","Ivan Provedel","ITA","GK","29-079",37.9,30,1,0,5,1,31.4,0.25,2.4,0.06,158,373,42.4,1121,166,27.4,32.3,198,33.3,33.2,493,21,4.3,55,1.45,16.5,"https://fbref.com/en/players/277da414/Ivan-Provedel"
"2022-2023","Lazio","Serie A","Luís Maximiano","POR","GK","24-150",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,66.7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"https://fbref.com/en/players/3318286e/Luis-Maximiano"
"2022-2023","Internazionale","Serie A","André Onana","CMR","GK","27-063",24,24,2,0,5,2,19.3,0.21,-2.7,-0.11,105,270,38.9,875,115,25.5,29.6,152,30.9,35.4,283,15,5.3,10,0.42,12.5,"https://fbref.com/en/players/e9c0c1b2/Andre-Onana"
"2022-2023","Internazionale","Serie A","Samir Handanović","SVN","GK","38-325",13.7,18,1,0,1,1,15,0.27,-2,-0.14,45,87,51.7,508,71,15.6,24.7,71,11.3,25.5,149,2,1.3,10,0.73,15.4,"https://fbref.com/en/players/74419746/Samir-Handanovic"
"2022-2023","Internazionale","Serie A","Alex Cordaz","ITA","GK","40-154",0.3,0,0,0,0,0,0.5,0.26,0.5,1.77,1,7,14.3,15,3,26.7,33.5,5,60,52,7,0,0,0,0,NA,"https://fbref.com/en/players/e66ebabb/Alex-Cordaz"
"2022-2023","Milan","Serie A","Mike Maignan","FRA","GK","27-336",21,20,2,1,2,0,19.3,0.27,-0.7,-0.03,75,190,39.5,696,118,23.4,30.1,80,33.8,35.5,216,15,6.9,29,1.38,17.6,"https://fbref.com/en/players/fcb38f57/Mike-Maignan"
"2022-2023","Milan","Serie A","Ciprian Tătărușanu","ROU","GK","37-115",16,22,2,2,4,1,16.8,0.25,-4.2,-0.26,94,195,48.2,473,75,32.1,32.9,83,51.8,41.8,195,9,4.6,13,0.81,14.4,"https://fbref.com/en/players/b056e3da/Ciprian-Tatarusanu"
"2022-2023","Atalanta","Serie A","Juan Musso","ARG","GK","29-029",23.1,27,2,0,3,2,21.7,0.23,-3.3,-0.14,109,276,39.5,547,152,32.5,32.1,157,62.4,48.6,253,14,5.5,24,1.04,15.6,"https://fbref.com/en/players/a111cf41/Juan-Musso"
"2022-2023","Atalanta","Serie A","Marco Sportiello","ITA","GK","31-025",13.9,19,1,1,2,0,17.8,0.28,-1.2,-0.09,51,145,35.2,329,81,21,29.1,110,69.1,50.6,197,18,9.1,18,1.29,15,"https://fbref.com/en/players/ac4003af/Marco-Sportiello"
"2022-2023","Roma","Serie A","Rui Patrício","POR","GK","35-109",35,35,2,1,4,1,27.6,0.23,-6.4,-0.18,135,328,41.2,644,121,37.6,33.6,240,35.8,34.8,402,16,4,25,0.71,13.8,"https://fbref.com/en/players/79b0d6a0/Rui-Patricio"
"2022-2023","Roma","Serie A","Mile Svilar","SRB","GK","23-281",2,2,0,0,0,0,2.6,0.33,0.6,0.32,15,41,36.6,47,6,59.6,45.9,13,100,68.5,30,5,16.7,2,1,11,"https://fbref.com/en/players/bcf5058a/Mile-Svilar"
"2022-2023","Juventus","Serie A","Wojciech Szczęsny","POL","GK","33-047",26.5,26,3,0,5,0,25.3,0.25,-0.7,-0.03,123,263,46.8,609,124,32.5,33.7,148,43.9,38.8,371,10,2.7,21,0.79,14.8,"https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny"
"2022-2023","Juventus","Serie A","Mattia Perin","ITA","GK","30-206",10.5,7,1,0,1,0,11.2,0.23,4.2,0.39,32,107,29.9,287,54,28.6,30.8,63,39.7,35.9,154,4,2.6,11,1.04,15.7,"https://fbref.com/en/players/4c62d0c8/Mattia-Perin"
"2022-2023","Fiorentina","Serie A","Pietro Terracciano","ITA","GK","33-088",29,38,6,0,3,2,33.1,0.28,-2.9,-0.1,155,375,41.3,871,113,32.7,33.2,198,45.5,40.5,271,12,4.4,55,1.9,18.4,"https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano"
"2022-2023","Fiorentina","Serie A","Michele Cerofolini","ITA","GK","24-151",5,3,1,0,0,0,3.4,0.22,0.4,0.09,24,70,34.3,167,27,34.7,33.3,28,42.9,38.1,29,1,3.4,3,0.6,13.8,"https://fbref.com/en/players/efdeaff3/Michele-Cerofolini"
"2022-2023","Fiorentina","Serie A","Pierluigi Gollini","ITA","GK","28-078",3,2,0,0,1,0,1.7,0.21,-0.3,-0.1,13,38,34.2,115,17,27,32.4,11,63.6,49.3,24,1,4.2,0,0,9.3,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
"2022-2023","Fiorentina","Serie A","Salvatore Sirigu","ITA","GK","36-143",1,0,0,0,0,0,1,0.19,1,0.96,6,16,37.5,30,9,40,37.7,8,50,41.8,12,0,0,2,2,26.3,"https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu"
"2022-2023","Torino","Serie A","Vanja Milinković-Savić","SRB","GK","26-104",38,41,5,0,6,0,35.8,0.23,-5.2,-0.14,285,939,30.4,1506,185,45,39.7,286,91.3,70,468,36,7.7,70,1.84,16.2,"https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic"
"2022-2023","Monza","Serie A","Michele Di Gregorio","ITA","GK","25-312",36,44,3,1,4,1,45.9,0.28,2.9,0.08,159,463,34.3,1199,225,31,32.6,243,37.4,35,530,14,2.6,29,0.81,13.2,"https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio"
"2022-2023","Monza","Serie A","Alessio Cragno","ITA","GK","28-341",1,3,0,0,0,0,1.7,0.35,-1.3,-1.33,2,4,50,25,4,12,22.6,6,16.7,33.3,7,0,0,2,2,25.7,"https://fbref.com/en/players/f554e29b/Alessio-Cragno"
"2022-2023","Bologna","Serie A","Łukasz Skorupski","POL","GK","32-030",36,47,7,1,6,3,46.6,0.25,2.6,0.07,144,359,40.1,908,200,29.5,31.7,266,34.2,33.3,473,27,5.7,24,0.67,13,"https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski"
"2022-2023","Bologna","Serie A","Francesco Bardi","ITA","GK","31-137",1,0,0,0,0,0,0.6,0.16,0.6,0.56,5,9,55.6,13,5,38.5,35.6,9,44.4,33.4,10,0,0,0,0,NA,"https://fbref.com/en/players/0acda699/Francesco-Bardi"
"2022-2023","Udinese","Serie A","Marco Silvestri","ITA","GK","32-094",37,47,6,2,3,2,46.9,0.31,1.9,0.05,135,368,36.7,845,134,31.7,32,289,34.6,34.5,523,12,2.3,21,0.57,12.4,"https://fbref.com/en/players/0d422df7/Marco-Silvestri"
